title,price,is_both_ways,travel_dates,miles,routing,travel_info,posting_date
"United - $173: Phoenix - New Orleans (and vice versa). Roundtrip, including all Taxes",173,1,early %December%December%%%,"<li><strong>Miles Flown: </strong>3,326 miles or 5.2 cents per mile<strong><br>
</strong></li>",<li>PHX - DEN (Denver) - MSY (New Orleans) - DEN - PHX</li>,"<li>Valid for travel until early December or January, 2017 - early February, 2017. Availability is limited. Must purchase at least 21 days in advance of departure</li>",03 Nov 2016
"[Summer Fare] British Airways - $462: Boston - London, England. Roundtrip, including all Taxes",462,0,"%September, 2017%September%%%, 2017",,<li>BOS - LHR (London) - BOS</li>,"<li>Valid for travel on the outbound until September, 2017. A 7 day minimum stay is required. Must purchase at least 28 days in advance of departure.</li>",02 Nov 2016
"Visit 2 Cities - jetBlue - $217: Chicago - Aruba and Fort Lauderdale. Roundtrip, including all Taxes",217,0,"late %January, 2017 - mid February, 2017%January%%%, 2017%mid %February%%%, 2017","<li><strong>Miles Flown: </strong>4,656 miles or 4.7 cents per mile<strong><br>
</strong></li>",<li>ORD - FLL (Fort Lauderdale) - AUA (Aruba) - FLL - ORD</li>,"<li>Valid for travel from late January, 2017 - mid February, 2017. Availability is limited. Must purchase at least 14 days in advance of departure and by <strong>November 2nd (TODAY)</strong></li>",02 Nov 2016
"American - $86: Dallas - Atlanta (and vice versa). Roundtrip, including all Taxes",86,1,"%January, 2017 - early February, 2017%January%%%, 2017%early %February%%%, 2017","<li><strong>Miles Flown: </strong>1,460 miles or 5.9 cents per mile<strong><br>
</strong></li>",<li>DFW - ATL (Atlanta) - DFW</li>,"<li>Valid for travel from January, 2017 - early February, 2017 for Tuesday and Wednesday departures and returns. Availability is limited. Must purchase at least 21 days in advance of departure and by <strong>November 1st (TODAY)</strong></li>",01 Nov 2016
"Delta - $705: Portland - Paris, France. Roundtrip, including all Taxes",705,0,early %December%December%%%,"<li><strong>Miles Flown:</strong> 13,098 miles or 5.4 cents per mile</li>",<li>PDX - ATL (Atlanta) - CDG (Paris) - ATL - PDX</li>,"<li>Valid for travel on the outbound until early December or January, 2017 - early April, 2017 with a 7 day minimum stay requirement<del></del>. Must purchase at least 28 days in advance of departure</li>",31 Oct 2016
"Delta - $360: Portland - Cancun, Mexico. Roundtrip, including all Taxes",360,0,Not Found,"<li><strong>Miles Flown:</strong> 6,156 miles or 5.8 cents per mile</li>",<li>PDX - MSP (Minneapolis) - CUN (Cancun) - ATL (Atlanta) - PDX</li>,"<li>Valid for travel in January, 2017. Must purchase at least 3 days in advance of departure</li>",30 Oct 2016
"American - $748: San Francisco - Montevideo, Uruguay. Roundtrip, including all Taxes",748,0,early %December%December%%%,"<li><strong>Miles Flown: </strong>14,116 miles or 5.3 cents per mile<strong><br>
</strong></li>",<li>SFO - MIA (Miami) - MVD (Montevideo) - MIA - SFO</li>,"<li>Valid for travel until early December or January, 2017 - March, 2017. Availability is EXTREMELY limited - just a few scattered dates per month. Must purchase at least 3 days in advance of departure</li>",29 Oct 2016
"Delta - $203: Phoenix - Fort Lauderdale (and vice versa). Roundtrip, includititle,price,is_both_ways,travel_dates,miles,routing,travel_info,posting_date
"Air Canada - $503: New York / Newark - Beijing, China. Roundtrip, including all Taxes",503,0," early December%early %December%%% mid January, 2017 - June, 2017%mid %January%%%, 2017%%June%%%, 2017","<li><strong>Miles Flown:</strong> 13,828 miles or 3.6 cents per mile</li>","<li>LGA - YYZ (Toronto) - PEK (Beijing) - YYZ - LGA. Also available from EWR, use NYC on the From: field on <a class=""thirstylink"" title=""Priceline"" href=""http://www.theflightdeal.com/go/priceline/"" target=""_blank"" rel=""nofollow"">Priceline</a> to search for both.</li>","<li>Valid for travel on the outbound until early December or mid January, 2017 - June, 2017 for Monday through Thursday departures and returns. Availability is limited. Must purchase at least 3 days in advance of departure and by <strong>November 11th (TODAY)</strong></li>",11 Nov 2016
"Delta - $373: Dallas / Phoenix - Madrid, Spain. Roundtrip, including all Taxes",373,0," early December%early %December%%% January, 2017 - March, 2017%%January%%%, 2017%%March%%%, 2017","<li><strong>Miles Flown: </strong>10,046 miles or 3.7 cents per mile</li>",<li>DFW - JFK (New York) - MAD (Madrid) - ATL (Atlanta) - DFW</li>,"<li><strong>Dallas:</strong> Valid for travel on the outbound until early December or January, 2017 - March, 2017. It is $20 more in 2017. A 7 day minimum stay is required. Availability is limited. Must purchase at least 28 days in advance of departure</li>",10 Nov 2016
"American - $87: Los Angeles - Portland, Oregon (and vice versa). Roundtrip, including all Taxes",87,1," January, 2017 - early February, 2017%%January%%%, 2017%early %February%%%, 2017","<li><strong>Miles Flown: </strong>1,668 miles or 5.2 cents per mile<strong><br>
</strong></li>",<li>LAX - PDX (Portland) - LAX</li>,"<li>Valid for travel from January, 2017 - early February, 2017. Must purchase at least 7 days in advance of departure</li>",09 Nov 2016
"American - $392: Boston - Barcelona / Madrid / Milan / Rome. Roundtrip, including all Taxes",392,0," early December%early %December%%% January, 2017 - early April, 2017%%January%%%, 2017%early %April%%%, 2017","<li><strong>Miles Flown: </strong>8,010 miles or 4.9 cents per mile</li>",<li>BOS - JFK (New York) - BCN (Barcelona) - JFK - BOS</li>,"<li>Valid for travel on the outbound until early December or January, 2017 - early April, 2017. April, 2017 - early May, 2017 availability for about $30 more. A 7 day minimum stay is required. Availability is limited. Must purchase at least 28 days in advance of departure</li>",08 Nov 2016
"jetBlue - $147: Boston - New Orleans (and vice versa). Roundtrip, including all Taxes",147,1, November 30th - December 16th%%November% 30th%th%%%December% 16th%th%,"<li><strong>Miles Flown: </strong>2,734 miles or 5.3 cents per mile<strong><br>
</strong></li>",<li>BOS - MSY (New Orleans) - BOS</li>,<li>Valid for travel from November 30th - December 16th. Availability is limited. Must purchase at least 21 days in advance of departure.</li>,07 Nov 2016
"Delta - $203: Oakland, California - New Orleans / Austin / Nashville / Atlanta (and vice versa). Roundtrip, including all Taxes",203,1," mid December%mid %December%%% January, 2017 - early May, 2017%%January%%%, 2017%early %May%%%, 2017","<li><strong>Miles Flown: </strong>4,015 miles or 5.1 cents per mile<strong><br>
</strong></li>",<li>OAK - LAX (Los Angeles) - MSY (New Orleans) - SLC (Salt Lake City) - OAK</li>,"<li>Valid for travel until mid December or January, 2017 - early May, 2017. Must purchase at least 21 days in advance of departure</li>",06 Nov 2016
"Qatar Airways - $714: Washington D.C. - Addis Ababa, Ethiopia. Roundtrip, including all Taxes",714,0," January, 2017 - March, 2017%%January%%%, 2017%%March%%%, 2017","<li><strong>Miles Flown:</strong> 16,632 miles or 4.3 cents per mile</li>",<li>IAD - DOH (Doha) - ADD (Addis Ababa) - DOH - IAD</li>,"<li>Valid for travel on the outbound from January, 2017 - March, 2017 for Sunday through Wednesday departures and Monday through Thursday returns. title,price,is_both_ways,travel_dates,miles,routing,travel_info,posting_date
"United - $510: Chicago - Madrid, Spain. Roundtrip, including all Taxes",510,0," early December January, 2017 - early May, 2017","<li><strong>Miles Flown: </strong>8,782 miles or 5.8 cents per mile</li>",<li>ORD - IAD (Washington D.C.) - MAD (Madrid) - IAD - ORD</li>,"<li>Valid for travel on the outbound until early December or January, 2017 - early May, 2017. A 7 day minimum stay is required. Availability is limited. Must purchase at least 28 days in advance of departure</li>",11 Nov 2016
"KLM Royal Dutch - $457: Seattle / Boston - Tallin, Estonia. Roundtrip, including all Taxes",457,0," January, 2017 - March, 2017","<li><strong>Miles Flown: </strong>11,965 miles or 3.8 cents per mile</li>",<li>SEA - CDG (Paris) - TLL (Tallin) - AMS (Amsterdam) - SEA</li>,"<li>Valid for travel on the outbound from January, 2017 - March, 2017. A 7 day minimum stay is required. Availability is limited. Must purchase at least 28 days in advance of departure</li>",10 Nov 2016
"United - $552: Phoenix / Dallas - Barcelona / Madrid, Spain. Roundtrip, including all Taxes",552,0," early December January, 2017 - early April, 2017","<li><strong>Miles Flown: </strong>11,912 miles or 4.6 cents per mile</li>",<li>PHX - EWR (Newark) - BCN (Barcelona) - EWR - PHX</li>,"<li>Valid for travel on the outbound until early December or January, 2017 - early April, 2017. A 7 day minimum stay is required. Availability is limited. Must purchase at least 28 days in advance of departure</li>",09 Nov 2016
"American - $290: Phoenix - Portland, Maine (and vice versa). Roundtrip, including all Taxes",290,1, early December,"<li><strong>Miles Flown:</strong> 5,160 miles or 5.6 cents per mile</li>","<li>PHX - CLT (Charlotte) -PWM (Portland, Maine) - CLT - PHX</li>",<li>Valid for travel until early December. Availability is limited. Must purchase at least 21 days in advance of departure</li>,08 Nov 2016
"American - $126: San Francisco / Los Angeles - Chicago (and vice versa). Roundtrip, including all Taxes",126,1," early December January, 2017 - early February, 2017","<li><strong>Miles Flown: </strong>3,682 miles or 3.4 cents per mile<strong><br>
</strong></li>",<li>SFO - ORD (Chicago) - SFO</li>,"<li>Valid for travel until early December or January, 2017 - early February, 2017 for Tuesday, Wednesday and Saturday departures and returns. Availability is limited. Must purchase at least 14 days in advance of departure and by <strong>November 7th (TODAY)<br>
</strong></li>",07 Nov 2016
"United - $96: Boston - Houston (and vice versa). Roundtrip, including all Taxes",96,1, early December,"<li><strong>Miles Flown:</strong> 3,204 miles or 3.0 cents per mile</li>",<li>BOS - IAH (Houston) - BOS</li>,<li>Valid for travel in early December. Availability is limited. Must purchase at least 21 days in advance of departure</li>,06 Nov 2016
"United - $112: Newark - Orlando (and vice versa). Roundtrip, including all Taxes",112,1, early December,"<li><strong>Miles Flown:</strong> 1,876 miles or 6.0 cents per mile</li>",<li>EWR - MCO (Orlando) - EWR</li>,<li>Valid for travel until early December. Availability is limited. Must purchase at least 7 days in advance of departure</li>,06 Nov 2016
"jetBlue - $246: Boston - San Diego (and vice versa). Roundtrip, including all Taxes",246,1," January, 2017","<li><strong>Miles Flown: </strong>5,162 miles or 4.8 cents per mile</li>",<li>BOS - SAN (San Diego) - BOS</li>,"<li>Valid for travel in January, 2017 for Tuesday, Wednesday and Saturday departure and returns. Availability is limited. Must purchase at least 21 days in advance of departure</li>",05 Nov 2016
"American - $106: Seattle - Phoenix (and vice versa). Roundtrip, including all Taxes",106,1," early December January, 2017 - early February, 2017","<li><strong>Miles Flown:</strong> 2,214 miles or 4.8 cents per mile</li>",<li>SEA - PHX (Phoenix) - SEA</li>,"<li>Valid for travel in early December or January, 2017 - early February, 2017 for Wednesday or Saturday departures and returns. Availability is limited. Mutitle,price,is_both_ways,travel_dates,miles,routing,travel_info,posting_date
"Qatar Airways - $735: Washington D.C. - Nairobi, Kenya. Roundtrip, including all Taxes",735,0,"/January, 2017 - March, 2017",17986,<li>IAD - DOH (Doha) - NBO (Nairobi) - DOH - IAD</li>,"<li>Valid for travel on the outbound from January, 2017 - March, 2017 for Sunday through Wednesday departures and Monday through Thursday returns. A 7 day minimum stay is required. Must purchase at least 7 days in advance of departure</li>",12 Nov 2016
"United - $510: Chicago - Madrid, Spain. Roundtrip, including all Taxes",510,0,"/Nov 11 2016early December/January, 2017 - early May, 2017",8782,<li>ORD - IAD (Washington D.C.) - MAD (Madrid) - IAD - ORD</li>,"<li>Valid for travel on the outbound until early December or January, 2017 - early May, 2017. A 7 day minimum stay is required. Availability is limited. Must purchase at least 28 days in advance of departure</li>",11 Nov 2016
"KLM Royal Dutch - $457: Seattle / Boston - Tallin, Estonia. Roundtrip, including all Taxes",457,0,"/January, 2017 - March, 2017",11965,<li>SEA - CDG (Paris) - TLL (Tallin) - AMS (Amsterdam) - SEA</li>,"<li>Valid for travel on the outbound from January, 2017 - March, 2017. A 7 day minimum stay is required. Availability is limited. Must purchase at least 28 days in advance of departure</li>",10 Nov 2016
"United - $552: Phoenix / Dallas - Barcelona / Madrid, Spain. Roundtrip, including all Taxes",552,0,"/Nov 09 2016early December/January, 2017 - early April, 2017",11912,<li>PHX - EWR (Newark) - BCN (Barcelona) - EWR - PHX</li>,"<li>Valid for travel on the outbound until early December or January, 2017 - early April, 2017. A 7 day minimum stay is required. Availability is limited. Must purchase at least 28 days in advance of departure</li>",09 Nov 2016
"American - $290: Phoenix - Portland, Maine (and vice versa). Roundtrip, including all Taxes",290,1,/Nov 08 2016early December,5160,"<li>PHX - CLT (Charlotte) -PWM (Portland, Maine) - CLT - PHX</li>",<li>Valid for travel until early December. Availability is limited. Must purchase at least 21 days in advance of departure</li>,08 Nov 2016
"American - $126: San Francisco / Los Angeles - Chicago (and vice versa). Roundtrip, including all Taxes",126,1,"/Nov 07 2016early December/January, 2017 - early February, 2017",3682,<li>SFO - ORD (Chicago) - SFO</li>,"<li>Valid for travel until early December or January, 2017 - early February, 2017 for Tuesday, Wednesday and Saturday departures and returns. Availability is limited. Must purchase at least 14 days in advance of departure and by <strong>November 7th (TODAY)<br>
</strong></li>",07 Nov 2016
"United - $96: Boston - Houston (and vice versa). Roundtrip, including all Taxes",96,1,/early December,3204,<li>BOS - IAH (Houston) - BOS</li>,<li>Valid for travel in early December. Availability is limited. Must purchase at least 21 days in advance of departure</li>,06 Nov 2016
"United - $112: Newark - Orlando (and vice versa). Roundtrip, including all Taxes",112,1,/Nov 06 2016early December,1876,<li>EWR - MCO (Orlando) - EWR</li>,<li>Valid for travel until early December. Availability is limited. Must purchase at least 7 days in advance of departure</li>,06 Nov 2016
"jetBlue - $246: Boston - San Diego (and vice versa). Roundtrip, including all Taxes",246,1,"/January, 2017",5162,<li>BOS - SAN (San Diego) - BOS</li>,"<li>Valid for travel in January, 2017 for Tuesday, Wednesday and Saturday departure and returns. Availability is limited. Must purchase at least 21 days in advance of departure</li>",05 Nov 2016
"American - $106: Seattle - Phoenix (and vice versa). Roundtrip, including all Taxes",106,1,"/early December/January, 2017 - early February, 2017",2214,<li>SEA - PHX (Phoenix) - SEA</li>,"<li>Valid for travel in early December or January, 2017 - early February, 2017 for Wednesday or Saturday departures and returns. Availability is limited. Must purchase at least 7 days in advance of departure</li>",04 Nov 2016
"United - $533: San Francisco - Taipei, Taiwan. Roundtrip, including all Taxes",533,0title,price,is_both_ways,travel_dates,miles,routing,travel_info,posting_date
"United - $547: Los Angeles - Taipei, Taiwan. Roundtrip, including all Taxes",547,0,/Nov 11 2016early December,13614,<li>LAX - NRT (Tokyo) - TPE (Taipei) - NRT - - LAX</li>,<li>Valid for travel on the outbound until early December for Monday through Thursday departures and returns. Must purchase at least 7 days in advance of departure.</li>,11 Nov 2016
"[FARE GONE] Delta - Starting $431: Phoenix - Amsterdam / Paris / London. Roundtrip, including all Taxes",431,0,"/January, 2017 - March, 2017",11239,<li>PHX - MSP (Minneapolis) - AMS (Amsterdam) - JFK (New York) - PHX</li>,"<li>Valid for travel on the outbound from January, 2017 - March, 2017. A 7 day minimum stay is required. Must purchase at least 28 days in advance of departure.</li>",11 Nov 2016
"Delta - $397: Boston / Seattle - Brussels, Belgium. Roundtrip, including all Taxes",397,0,"/January, 2017 - March, 2017",7682,<li>BOS - JFK (New York) - BRU (Brussels) - JFK - BOS</li>,"<li>Valid for travel on the outbound from January, 2017 - March, 2017. A 7 day minimum stay is required. Availability is limited. Must purchase at least 28 days in advance of departure</li>",11 Nov 2016
"American - $511: Miami - Paris, France. Roundtrip, including all Taxes",511,0,"/January, 2017 - early April, 2017",9156,<li>MIA - CDG (Paris) - MIA</li>,"<li>Valid for travel on the outbound from January, 2017 - early April, 2017 with a 7 day minimum stay requirement<del></del>. Must purchase at least 90 days in advance of departure</li>",11 Nov 2016
"Delta - $481: Dallas - Munich / Frankfurt, Germany. Roundtrip, including all Taxes",481,0,"/January, 2017 - March, 2017",11056,<li>DFW - ATL (Atlanta) - MUC (Munich) - ATL - DFW</li>,"<li>Valid for travel on the outbound from January, 2017 - March, 2017 with a 7 day minimum stay. Must purchase at least 28 days in advance of departure</li>",11 Nov 2016
"Delta - $696: Portland - Frankfurt, Germany. Roundtrip, including all Taxes",696,0,"/January, 2017 - early April, 2017",13538,<li>PDX - ATL (Atlanta) - FRA (Frankfurt) - ATL - PDX</li>,"<li>Valid for travel on the outbound from January, 2017 - early April, 2017. Must purchase at least 28 days in advance of departure</li>",11 Nov 2016
"Virgin Atlantic - $769: San Francisco - Johannesburg, South Africa. Roundtrip, including all Taxes",769,0,"/Nov 11 2016early December/January, 2017 - March, 2017",21976,<li>SFO - LHR (London) - JNB (Johannesburg) - LHR - SFO</li>,"<li>Valid for travel on the outbound until early December or January, 2017 - March, 2017. Must purchase at least 14 days in advance of departure</li>",11 Nov 2016
"United - $199: Philadelphia - Las Vegas (and vice versa). Roundtrip, including all Taxes",199,1,"/January, 2017 - early February, 2017",5481,<li>PHL - SFO (San Francisco) - LAS (Las Vegas Vegas) - IAH (Houston) - PHL</li>,"<li>Valid for travel early December or January, 2017 - early February, 2017. Availability is limited. Must purchase at least 7 days in advance of departure</li>",11 Nov 2016
"jetBlue - $132: New York - Palm Springs, California (and vice versa). Roundtrip, including all Taxes",132,1,"/early December/January, 2017 - March, 2017",4744,<li>JFK - PSP (Palm Springs) - JFK</li>,"<li>Valid for travel in early December or January, 2017 - March, 2017. Availability is limited. Must purchase at least 21 days in advance of departure</li>",11 Nov 2016
"Qatar Airways - $735: Washington D.C. - Nairobi, Kenya. Roundtrip, including all Taxes",735,0,"/January, 2017 - March, 2017",17986,<li>IAD - DOH (Doha) - NBO (Nairobi) - DOH - IAD</li>,"<li>Valid for travel on the outbound from January, 2017 - March, 2017 for Sunday through Wednesday departures and Monday through Thursday returns. A 7 day minimum stay is required. Must purchase at least 7 days in advance of departure</li>",12 Nov 2016
"United - $206: San Francisco - Orlando (and vice versa). Roundtrip, including all Taxes",206,1,/early December,4880,<li>SFO - MCO (Orlando) - SFO</li>,"<li>Valid for travel in early December or January, 2017. Availability is extremely limited - just a few scattered dates. Must purchase at least 14 days in advance of departure</li>",10 Nov 2016
"American - $132: Newark - New Orleans (and vice versa). Roundtrip, including all Taxes",132,1,"/Nov 10 2016early December/January, 2017 - early February, 2017",2358,<li>EWR - CLT (Charlotte) - MSY (New Orleans) - CLT - EWR</li>,"<li>Valid for travel until early December or January, 2017 - early February, 2017. Availability is limited. Must purchase at least 21 days in advance of departure</li>",10 Nov 2016
"Delta - $495: Dallas - London, England. Roundtrip, including all Taxes",495,0,"/January, 2017 - March, 2017",9880,<li>DFW - MSP (Minneapolis) - LHR (London) - ATL (Atlanta) - DFW</li>,"<li>Valid for travel on the outbound from January, 2017 - March, 2017. A 7 day minimum stay is required. Must purchase at least 28 days in advance of departure.</li>",10 Nov 2016
"United - Starting $483: Chicago / Los Angeles / San Francisco - Barcelona, Spain. Roundtrip, including all Taxes",483,0,"/Nov 10 2016early December/January, 2017 - early May, 2017",9106,<li>ORD - EWR (Newark) - BCN (Barcelona) - EWR - ORD</li>,"<li>Valid for travel on the outbound until early December or January, 2017 - early May, 2017. A 7 day minimum stay is required. Availability is limited. Must purchase at least 28 days in advance of departure</li>",10 Nov 2016
"Air Canada - $602: Washington D.C. / Baltimore - Beijing, China. Roundtrip, including all Taxes",602,0,"/Nov 11 2016early December/mid January, 2017 - May, 2017",13836,"<li>DCA - YYZ (Toronto) - PEK (Beijing) - YYZ - DCA. Also available from IAD and BWI, use WAS on the From: field on <a class=""thirstylink"" title=""Priceline"" href=""http://www.theflightdeal.com/go/priceline/"" target=""_blank"" rel=""nofollow"">Priceline</a> to search for all three.</li>","<li>Valid for travel on the outbound until early December or mid January, 2017 - May, 2017. Availability is limited. Must purchase at least 3 days in advance of departure and by <strong>November 11th (TODAY)</strong></li>",11 Nov 2016
"American - $166: Miami - Las Vegas (and vice versa). Roundtrip, including all Taxes",166,1,"/early December/January, 2017 - early February, 2017",4340,<li>MIA - LAS (Las Vegas) - MIA</li>,"<li>Valid for travel in early December or January, 2017 - early February, 2017 for Tuesday, Wednesday and Saturday departures and returns. Availability is limited. Must purchase at least 14 days in advance of departure <strong><br>
</strong></li>",10 Nov 2016
